Row   , SeriesNumber, EventNumber ,    pt_keVee , zip4.PAWKmax, sihv_delay_us
111486,72209162200,1200805,0.286472199,8.32E-07,25.34086213
121606,72209162200,1310635,0.037627039,8.28E-07,9.287737294
166514,72209162200,1800073,0.036834849,8.15E-07,3.901370766
175937,72209162200,1900344,0.035074136,8.04E-07,55.34542394
175938,72209162200,1900345,0.037567691,8.06E-07,7.763157707
178135,72209162200,1920692,0.209747322,8.34E-07,33.07563673
183523,72209162200,1980555,0.035292989,8.09E-07,57.63159506
199161,72209162200,2150473,0.038436401,8.05E-07,56.59202509
200208,72209162200,2160604,0.037330996,8.11E-07,20.95324546
224088,72209162200,2420431,0.039880715,8.18E-07,33.72009327
244575,72209162200,2640676,0.178539142,8.35E-07,22.12348087
247031,72209162200,2670383,0.036501885,8.34E-07,36.10586025
259474,72209162200,2800736,0.057683037,8.27E-07,48.40899425
272561,72209162200,2940650,0.035695,8.09E-07,58.27046199
273382,72209162200,2950527,0.155010039,8.35E-07,29.56763399
307314,72209162200,3320285,0.1530198,8.17E-07,5.668109514
312156,72209162200,3370549,0.045803944,8.17E-07,25.48321834
321338,72209162200,3470461,0.246501007,8.05E-07,5.361342326
335571,72209162200,3620727,0.037120084,8.07E-07,26.40241125
341521,72209162200,3690144,0.159442804,8.17E-07,56.21722744
349380,72209162200,3770547,0.047673122,8.38E-07,36.80178549
361612,72209162200,3900757,0.035212725,8.22E-07,22.45933059
